iter	Passed	Remaining
887	6471	816
888	6476	808
889	6481	801
890	6486	793
891	6492	786
892	6496	778
893	6504	771
894	6512	763
895	6518	756
896	6526	749
897	6532	742
898	6539	734
899	6545	727
900	6550	719
901	6555	712
902	6559	704
903	6565	697
904	6571	689
905	6575	682
906	6580	674
907	6586	667
908	6591	659
909	6596	652
910	6600	644
911	6606	637
912	6611	630
913	6616	622
914	6621	615
915	6626	607
916	6631	600
917	6635	592
918	6640	585
919	6644	577
920	6651	570
921	6656	563
922	6661	555
923	6666	548
924	6671	540
925	6676	533
926	6680	526
927	6686	518
928	6691	511
929	6696	504
930	6701	496
931	6706	489
932	6711	481
933	6715	474
934	6720	467
935	6725	459
936	6730	452
937	6735	445
938	6739	437
939	6745	430
940	6750	423
941	6755	415
942	6760	408
943	6766	401
944	6771	394
945	6776	386
946	6782	379
947	6787	372
948	6792	365
949	6797	357
950	6801	350
951	6806	343
952	6810	335
953	6818	328
954	6822	321
955	6827	314
956	6832	307
957	6837	299
958	6841	292
959	6847	285
960	6851	278
961	6856	270
962	6862	263
963	6867	256
964	6872	249
965	6876	242
966	6881	234
967	6885	227
968	6890	220
969	6897	213
970	6901	206
971	6906	198
972	6911	191
973	6916	184
974	6921	177
975	6925	170
976	6931	163
977	6936	156
978	6940	148
979	6945	141
980	6950	134
981	6954	127
982	6960	120
983	6965	113
984	6970	106
985	6975	99
986	6981	91
987	6985	84
988	6990	77
989	6995	70
990	7000	63
991	7004	56
992	7012	49
993	7016	42
994	7022	35
995	7027	28
996	7031	21
997	7035	14
998	7040	7
999	7045	0
